Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2016-05-31,5,1,2,0,0,0,35.601192474365234
2016-06-01,6,1,2,0,0,0,35.20515060424805
2016-06-02,6,1,2,0,0,0,35.508506774902344
2016-06-03,6,1,2,0,0,0,35.49164581298828
2016-06-06,6,1,2,0,0,0,35.9719352722168
2016-06-07,6,1,2,0,0,0,36.22474670410156
2016-06-08,6,1,2,0,0,0,36.140472412109375
2016-06-09,6,1,2,0,0,0,35.9213981628418
2016-06-10,6,1,2,0,0,0,35.02820587158203
2016-06-13,6,1,2,0,0,0,34.38780975341797
2016-06-14,6,1,2,0,0,0,34.49734115600586
2016-06-15,6,1,2,0,0,0,34.67430114746094
2016-06-16,6,1,2,0,0,0,34.632164001464844
2016-06-17,6,1,2,0,0,0,34.362525939941406
2016-06-20,6,1,2,0,0,0,34.918663024902344
2016-06-21,6,1,2,0,0,0,35.20515060424805
2016-06-22,6,1,2,0,0,0,35.36896514892578
2016-06-23,6,1,2,0,0,0,36.16682815551758
2016-06-24,6,1,2,0,0,0,34.274044036865234
2016-06-27,6,1,2,0,0,0,33.951499938964844
2016-06-28,6,1,2,0,0,0,34.79180145263672
2016-06-29,6,1,2,0,0,0,35.453861236572266
2016-06-30,6,1,2,0,0,0,35.980098724365234
2016-07-01,7,2,3,0,0,0,36.24322891235352
2016-07-05,7,2,3,0,0,0,35.513267517089844
2016-07-06,7,2,3,0,0,0,35.46233367919922
2016-07-07,7,2,3,0,0,0,35.394439697265625
2016-07-08,7,2,3,0,0,0,35.93766403198242
2016-07-11,7,2,3,0,0,0,36.438438415527344
2016-07-12,7,2,3,0,0,0,36.97318649291992
2016-07-13,7,2,3,0,0,0,36.76098251342773
2016-07-14,7,2,3,0,0,0,37.28722381591797
2016-07-15,7,2,3,0,0,0,37.20235824584961
2016-07-18,7,2,3,0,0,0,37.54186630249024
2016-07-19,7,2,3,0,0,0,36.96469497680664
2016-07-20,7,2,3,0,0,0,37.431522369384766
2016-07-21,7,2,3,0,0,0,37.36362075805664
2016-07-22,7,2,3,0,0,0,37.5927963256836
2016-07-25,7,2,3,0,0,0,37.31269836425781
2016-07-26,7,2,3,0,0,0,37.74558639526367
2016-07-27,7,2,3,0,0,0,37.6522102355957
2016-07-28,7,2,3,0,0,0,37.53338623046875
2016-07-29,7,2,3,0,0,0,37.36362075805664
2016-08-01,8,2,3,0,0,0,37.38059997558594
2016-08-02,8,2,3,0,0,0,37.20235824584961
2016-08-03,8,2,3,0,0,0,37.27025604248047
2016-08-04,8,2,3,0,0,0,37.38908386230469
2016-08-05,8,2,3,0,0,0,37.98323440551758
2016-08-08,8,2,3,0,0,0,38.21240997314453
2016-08-09,8,2,3,0,0,0,38.450077056884766
2016-08-10,8,2,3,0,0,0,38.39065170288086
2016-08-11,8,2,3,0,0,0,39.19700622558594
2016-08-12,8,2,3,0,0,0,39.5195426940918
2016-08-15,8,2,3,0,0,0,40.21554946899414
2016-08-16,8,2,3,0,0,0,40.10520935058594
2016-08-17,8,2,3,0,0,0,40.03730392456055
2016-08-18,8,2,3,0,0,0,40.283451080322266
2016-08-19,8,2,3,0,0,0,40.2070541381836
2016-08-22,8,2,3,0,0,0,39.84208297729492
2016-08-23,8,2,3,0,0,0,39.76569366455078
2016-08-24,8,2,3,0,0,0,39.58744812011719
2016-08-25,8,2,3,0,0,0,39.57896423339844
2016-08-26,8,2,3,0,0,0,39.53651809692383
2016-08-29,8,2,3,0,0,0,39.7572021484375
2016-08-30,8,2,3,0,0,0,40.08823394775391
2016-08-31,8,2,3,0,0,0,39.68929672241211
2016-09-01,9,2,3,0,0,0,39.97789001464844
2016-09-02,9,2,3,0,0,0,40.67389678955078
2016-09-06,9,2,3,0,0,0,41.70093536376953
2016-09-07,9,2,3,0,0,0,41.51419448852539
2016-09-08,9,2,3,0,0,0,41.81127166748047
2016-09-09,9,2,3,0,0,0,40.76725769042969
2016-09-12,9,2,3,0,0,0,41.04735565185547
2016-09-13,9,2,3,0,0,0,40.25798416137695
2016-09-14,9,2,3,0,0,0,40.35983657836914
2016-09-15,9,2,3,0,0,0,41.01339721679688
2016-09-16,9,2,3,0,0,0,40.9200439453125
2016-09-19,9,2,3,0,0,0,40.80120849609375
