Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2016-05-31,5,1,2,0,0,0,32.37818908691406
2016-06-01,6,1,2,0,0,0,32.822696685791016
2016-06-02,6,1,2,0,0,0,33.357383728027344
2016-06-03,6,1,2,0,0,0,34.909942626953125
2016-06-06,6,1,2,0,0,0,35.05167388916016
2016-06-07,6,1,2,0,0,0,35.04522705078125
2016-06-08,6,1,2,0,0,0,35.18051528930664
2016-06-09,6,1,2,0,0,0,34.787540435791016
2016-06-10,6,1,2,0,0,0,33.58931350708008
2016-06-13,6,1,2,0,0,0,33.035282135009766
2016-06-14,6,1,2,0,0,0,32.300880432128906
2016-06-15,6,1,2,0,0,0,32.745384216308594
2016-06-16,6,1,2,0,0,0,32.481258392333984
2016-06-17,6,1,2,0,0,0,33.04172134399414
2016-06-20,6,1,2,0,0,0,34.07246398925781
2016-06-21,6,1,2,0,0,0,34.56207275390625
2016-06-22,6,1,2,0,0,0,34.979732513427734
2016-06-23,6,1,2,0,0,0,36.33429336547852
2016-06-24,6,1,2,0,0,0,32.70219421386719
2016-06-27,6,1,2,0,0,0,31.334341049194336
2016-06-28,6,1,2,0,0,0,32.60923767089844
2016-06-29,6,1,2,0,0,0,34.29581069946289
2016-06-30,6,1,2,0,0,0,35.11916732788086
2016-07-01,7,2,3,0,0,0,35.25196838378906
2016-07-05,7,2,3,0,0,0,33.950531005859375
2016-07-06,7,2,3,0,0,0,33.85092544555664
2016-07-07,7,2,3,0,0,0,33.47907638549805
2016-07-08,7,2,3,0,0,0,34.67428207397461
2016-07-11,7,2,3,0,0,0,35.437889099121094
2016-07-12,7,2,3,0,0,0,36.12845230102539
2016-07-13,7,2,3,0,0,0,35.716766357421875
2016-07-14,7,2,3,0,0,0,36.44053649902344
2016-07-15,7,2,3,0,0,0,36.54677581787109
2016-07-18,7,2,3,0,0,0,37.05142211914063
2016-07-19,7,2,3,0,0,0,36.68621063232422
2016-07-20,7,2,3,0,0,0,36.925254821777344
2016-07-21,7,2,3,0,0,0,37.05805969238281
2016-07-22,7,2,3,0,0,0,37.36350631713867
2016-07-25,7,2,3,0,0,0,37.17757797241211
