Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2016-05-31,5,1,2,0,0,0,15.770044326782228
2016-06-01,6,1,2,0,0,0,16.036598205566406
2016-06-02,6,1,2,0,0,0,16.389938354492188
2016-06-03,6,1,2,0,0,0,16.898250579833984
2016-06-06,6,1,2,0,0,0,16.941638946533203
2016-06-07,6,1,2,0,0,0,17.127605438232422
2016-06-08,6,1,2,0,0,0,17.99545669555664
2016-06-09,6,1,2,0,0,0,17.648317337036133
2016-06-10,6,1,2,0,0,0,16.867252349853516
2016-06-13,6,1,2,0,0,0,16.712282180786133
2016-06-14,6,1,2,0,0,0,16.377538681030273
2016-06-15,6,1,2,0,0,0,16.557308197021484
2016-06-16,6,1,2,0,0,0,16.737079620361328
2016-06-17,6,1,2,0,0,0,17.009830474853516
2016-06-20,6,1,2,0,0,0,17.425155639648438
2016-06-21,6,1,2,0,0,0,17.53673553466797
2016-06-22,6,1,2,0,0,0,17.441816329956055
2016-06-23,6,1,2,0,0,0,18.128746032714844
2016-06-24,6,1,2,0,0,0,17.360631942749023
2016-06-27,6,1,2,0,0,0,17.0733699798584
2016-06-28,6,1,2,0,0,0,17.81650161743164
2016-06-29,6,1,2,0,0,0,18.540903091430664
2016-06-30,6,1,2,0,0,0,18.846900939941406
2016-07-01,7,2,3,0,0,0,19.06547164916992
2016-07-05,7,2,3,0,0,0,18.44098472595215
2016-07-06,7,2,3,0,0,0,18.32858085632324
2016-07-07,7,2,3,0,0,0,18.128746032714844
2016-07-08,7,2,3,0,0,0,18.97804450988769
2016-07-11,7,2,3,0,0,0,19.159141540527344
2016-07-12,7,2,3,0,0,0,19.333999633789062
2016-07-13,7,2,3,0,0,0,19.596281051635746
2016-07-14,7,2,3,0,0,0,19.983461380004883
2016-07-15,7,2,3,0,0,0,20.002195358276367
2016-07-18,7,2,3,0,0,0,20.35815048217773
2016-07-19,7,2,3,0,0,0,20.433090209960938
2016-07-20,7,2,3,0,0,0,20.45182609558105
2016-07-21,7,2,3,0,0,0,20.233251571655277
2016-07-22,7,2,3,0,0,0,20.520517349243164
2016-07-25,7,2,3,0,0,0,20.245738983154297
2016-07-26,7,2,3,0,0,0,20.339418411254883
2016-07-27,7,2,3,0,0,0,20.35190773010254
2016-07-28,7,2,3,0,0,0,20.120849609375
2016-07-29,7,2,3,0,0,0,20.75782012939453
2016-08-01,8,2,3,0,0,0,20.326929092407227
2016-08-02,8,2,3,0,0,0,20.133338928222656
2016-08-03,8,2,3,0,0,0,20.63292121887207
2016-08-04,8,2,3,0,0,0,21.08255195617676
2016-08-05,8,2,3,0,0,0,21.31360626220703
2016-08-08,8,2,3,0,0,0,21.30112075805664
2016-08-09,8,2,3,0,0,0,21.51968765258789
2016-08-10,8,2,3,0,0,0,21.30736351013184
2016-08-11,8,2,3,0,0,0,21.78197288513184
2016-08-12,8,2,3,0,0,0,21.51968765258789
2016-08-15,8,2,3,0,0,0,21.756988525390625
2016-08-16,8,2,3,0,0,0,21.60087203979492
2016-08-17,8,2,3,0,0,0,21.557165145874023
2016-08-18,8,2,3,0,0,0,21.432262420654297
2016-08-19,8,2,3,0,0,0,21.53842544555664
2016-08-22,8,2,3,0,0,0,21.013858795166016
2016-08-23,8,2,3,0,0,0,20.89521026611328
2016-08-24,8,2,3,0,0,0,20.96390151977539
2016-08-25,8,2,3,0,0,0,20.826515197753903
2016-08-26,8,2,3,0,0,0,20.59545516967773
2016-08-29,8,2,3,0,0,0,21.20744514465332
2016-08-30,8,2,3,0,0,0,21.09504508972168
2016-08-31,8,2,3,0,0,0,20.93267250061035
2016-09-01,9,2,3,0,0,0,21.00136947631836
2016-09-02,9,2,3,0,0,0,21.482213973999023
2016-09-06,9,2,3,0,0,0,21.84441947937012
2016-09-07,9,2,3,0,0,0,21.831933975219727
2016-09-08,9,2,3,0,0,0,21.919357299804688
2016-09-09,9,2,3,0,0,0,20.657899856567383
2016-09-12,9,2,3,0,0,0,21.07006454467773
2016-09-13,9,2,3,0,0,0,20.03966522216797
