Date,MSCI BRAZIL,MSCI USA,MSCI CHINA,MSCI INDIA,MSCI JAPAN,MSCI UK,MSCI CANADA,MSCI SOUTH AFRICA,MSCI RUSSIA,MSCI GERMANY,MSCI MEXICO,MSCI AUSTRALIA,MSCI FRANCE,MSCI SOUTH KOREA,MSCI SWITZERLAND,MSCI EM LATIN AMERICA,MSCI EM ASIA,MSCI EM EUROPE,MSCI WORLD,MSCI EUROPE
,EWZ,SPY,MCHI,INDA,EWJ,EWU,EWC,EZA,ERUS,EWG,EWW,EWA,EWQ,EWY,EWL,ILF,AAXJ,ESR,URTH,IEV
4-Jan-16,12.360641479492188,171.34933471679688,36.29214859008789,23.988008499145508,40.473716735839844,21.900495529174805,17.327524185180664,29.382587432861328,11.363970756530762,20.050457000732422,38.56089401245117,12.590381622314453,18.305448532104492,41.06678009033203,24.904306411743164,13.112746238708496,43.53193283081055,0.25,57.60194778442383,30.122831344604492
5-Jan-16,12.534207344055176,171.63919067382812,36.258453369140625,24.219690322875977,40.98259735107422,21.845327377319336,17.245746612548828,29.48567008972168,11.552149772644043,19.8621883392334,38.443023681640625,12.401860237121582,18.12869644165039,41.24456787109375,24.847503662109375,13.18887710571289,43.615901947021484,0.23999999463558197,57.198909759521484,29.93223762512207
6-Jan-16,12.34824275970459,169.4740753173828,35.65176010131836,23.86325454711914,40.27015686035156,21.445384979248047,16.869600296020508,28.5902156829834,11.33260726928711,19.63469696044922,37.65718078613281,12.04502010345459,17.84435272216797,40.423397064208984,24.47422218322754,12.903402328491211,42.76792526245117,0.25,56.53557586669922,29.429046630859375
7-Jan-16,11.88952350616455,165.4081268310547,34.194000244140625,23.105833053588867,39.65949249267578,20.852359771728516,16.468915939331055,27.147165298461914,10.914430618286133,19.242475509643555,36.18767547607422,11.533327102661133,17.598434448242188,39.78001403808594,24.076597213745117,12.389549255371094,41.57572555541992,0.25,54.70507049560547,28.89535903930664
8-Jan-16,11.833733558654785,163.59254455566406,33.688419342041016,23.0078125,38.81133270263672,20.71445083618164,16.39531898498535,26.586708068847656,10.74715805053711,19.0542049407959,35.6533088684082,11.365006446838379,17.452425003051758,39.55990219116211,23.719547271728516,12.269014358520508,41.231502532958984,0.25,54.41957092285156,28.605636596679688
11-Jan-16,11.73454761505127,163.7544403076172,33.54518508911133,23.248409271240234,39.08275604248047,20.769609451293945,16.174535751342773,25.93604850769043,10.5485258102417,19.2032527923584,36.15623474121094,11.459264755249023,17.4908447265625,40.00011444091797,23.719547271728516,12.24363899230957,41.25668716430664,0.25,54.503536224365234,28.70475959777832
12-Jan-16,11.790339469909668,165.07566833496094,33.637855529785156,23.1414794921875,38.879188537597656,20.783401489257812,16.207242965698242,26.36122703552246,10.621705055236816,19.50918960571289,36.38413619995117,11.526594161987305,17.72139549255371,39.881587982177734,24.027908325195312,12.319766998291016,41.3574333190918,0.25,54.81422805786133,28.933486938476562
13-Jan-16,11.517585754394531,160.9586181640625,32.91321563720703,22.9365291595459,38.53993606567383,20.43861961364746,15.84744644165039,26.271038055419922,10.454434394836426,19.02283477783203,36.15623474121094,11.324606895446777,17.38326072692871,39.771541595458984,23.695205688476562,12.14213752746582,40.878883361816406,0.25,53.66386032104492,28.437908172607422
14-Jan-16,11.808935165405273,163.60104370117188,33.34293746948242,23.1236515045166,39.01490020751953,20.824777603149414,16.051877975463867,26.586708068847656,10.726252555847168,19.242475509643555,36.50986099243164,11.560256958007812,17.536958694458008,40.20328903198242,23.979217529296875,12.408576011657715,41.34904098510742,0.23000000417232513,54.59590530395508,28.803863525390625
